ID	Qwen3 8B	GPT	Qwen3 32B	Year	Decade	Period	Century	Author	Journal
rsta_1892_0011	Physics	Physics	Physics	1892	1890	1850	1800	Oliver Heaviside,F. R. S.	Philosophical Transactions of the Royal Society of London. (A.)
rspb_1982_0091	Biology	Biology	Chemistry	1982	1980	1950	1900	P. Douzou	Proceedings of the Royal Society of London. Series B. Biological Sciences
110824	Biology	Biology	Biology	1837	1830	1800	1800	Arthur Farre	Abstracts of the Papers Printed in the Philosophical Transactions of the Royal Society of London
rstb_1996_0054	Biology	Biology	Biology	1996	1990	1950	1900	Mary Ann Price|Caroline Hill|Richard Treisman|S. Busby|F. G. Grosveld|D. S. Latchman	Philosophical Transactions of the Royal Society of London. Series B: Biological Sciences
rspa_1936_0046	Physics	Physics	Physics	1936	1930	1900	1900	H. J. Bhabha,Ph. D.|R. H. Fowler,F. R. S.	Proceedings of the Royal Society of London. Series A - Mathematical and Physical Sciences
rspa_1964_0248	Engineering and Technology	Engineering and Technology	Engineering and Technology	1964	1960	1950	1900	J. Cook|J. E. Gordon|C. C. Evans|J. E. Gordon|D. M. Marsh|F. P. Bowden,F. R. S.	Proceedings of the Royal Society of London. Series A. Mathematical and Physical Sciences
105865	Astronomy	Astronomy	Astronomy	1769	1760	1750	1700	John Winthrop	Philosophical Transactions (1683-1775)
rstb_1982_0094	Biology	Biology	Biology	1982	1980	1950	1900	D. P. Kelly|J. R. Postgate,F. R. S. |D. P. Kelly	Philosophical Transactions of the Royal Society of London. B, Biological Sciences
rsta_1993_0030	Physics	Engineering and Technology	Earth Sciences	1993	1990	1950	1900	I. R. Young|G. Ph. Van Vledder	Philosophical Transactions of the Royal Society of London. Series A: Physical and Engineering Sciences
105813	Astronomy	Astronomy	Earth Sciences	1769	1760	1750	1700	M. Messier|J. Bevis	Philosophical Transactions (1683-1775)
rspa_1926_0011	Chemistry	Physics	Physics	1926	1920	1900	1900	A. L. M. Sowerby|S. Barratt|Prof. T. R. Merton,F. R. S.	Proceedings of the Royal Society of London. Series A, Containing Papers of a Mathematical and Physical Character
rspa_1967_0070	Chemistry	Chemistry	Chemistry	1967	1960	1950	1900	D. O. Hayward|D. A. King|F. C. Tompkins,F. R. S.	Proceedings of the Royal Society of London. Series A. Mathematical and Physical Sciences
rspb_1993_0002	Biology	Medicine	Medicine	1993	1990	1950	1900	Raheela N. Khan|Stephen K. Smith|John J. Morrison|Michael L. J. Ashford	Proceedings of the Royal Society of London. Series B: Biological Sciences
rspb_1954_0043	Biology	Biology	Biology	1954	1950	1950	1900	W. G. C. Forsyth|N. W. Simmonds|Sir Robert Robinson,F. R. S.	Proceedings of the Royal Society of London. Series B - Biological Sciences
103522	Humanities	Engineering and Technology	Humanities	1729	1720	1700	1700	Peter Collison	Philosophical Transactions (1683-1775)
rspa_1926_0086	Earth Sciences	Physics	Physics	1926	1920	1900	1900	E. V. Appleton,M. A.,D. Sc.|R. A. Watson Watt,B. Sc.,F. Inst. P.|J. F. Herd,A. M. I. E. E.|Sir Henry Jackson,F. R. S.	Proceedings of the Royal Society of London. Series A, Containing Papers of a Mathematical and Physical Character
rsta_1981_0156	Physics	Physics	Physics	1981	1980	1950	1900	Michael E. Fisher,F. R. S.|Walter Selke	Philosophical Transactions of the Royal Society of London. Series A, Mathematical and Physical Sciences
rspa_1955_0146	Astronomy	Astronomy	Astronomy	1955	1950	1950	1900	M. Ryle,F. R. S.|P. A. G. Scheuer	Proceedings of the Royal Society of London. Series A. Mathematical and Physical Sciences
rstb_1987_0018	Biology	Biology	Chemistry	1987	1980	1950	1900	H. -L. Schmidt|H. G\#xFC,nther|M. Akhtar,F. R. S. |C. R. Lowe|I. J. Higgins	Philosophical Transactions of the Royal Society of London. B, Biological Sciences
rspa_1923_0069	Chemistry	Chemistry	Chemistry	1923	1920	1900	1900	W. G. Palmer|Sir William Pope,F. R. S.	Proceedings of the Royal Society of London. Series A, Containing Papers of a Mathematical and Physical Character
rsta_1973_0010	Earth Sciences	Earth Sciences	Earth Sciences	1973	1970	1950	1900	Janet V. Watson|J. Sutton,F. R. S.|B. F. Windley	Philosophical Transactions of the Royal Society of London. Series A, Mathematical and Physical Sciences
110116	Biology	Biology	Biology	1815	1810	1800	1800	Charles Bell	Abstracts of the Papers Printed in the Philosophical Transactions of the Royal Society of London
rspb_1911_0001	Biology	Biology	Biology	1911	1910	1900	1900	Colonel Sir David Bruce,C. B.,F. R. S.,A. M. S.|Captain A. E. Hamerton,D. S. O.|Captain H. R. Bateman,R. A. M. C.|Captain F. P. Mackie,I. M. S.	Proceedings of the Royal Society of London. Series B, Containing Papers of a Biological Character
rspb_1994_0158	Biology	Biology	Biology	1994	1990	1950	1900	Peter Hammond	Proceedings of the Royal Society of London. Series B: Biological Sciences
108245	Physics	Earth Sciences	Earth Sciences	1841	1840	1800	1800	C. J. Hargreave	Philosophical Transactions of the Royal Society of London
107894	Earth Sciences	Earth Sciences	Earth Sciences	1830	1830	1800	1800	James Horsburgh	Philosophical Transactions of the Royal Society of London
rspa_1927_0002	Miscellaneous	Biology	Miscellaneous	1927	1920	1900	1900	Sir Ernest Rutherford.	Proceedings of the Royal Society of London. Series A, Containing Papers of a Mathematical and Physical Character
rspa_1964_0220	Engineering and Technology	Engineering and Technology	Engineering and Technology	1964	1960	1950	1900	R. N. Haward|J. Mann|A. Keller|J. D. Bernal,F. R. S.|C. E. H. Bawn,F. R. S.|A. H. Cottrell,F. R. S.|F. C. Frank,F. R. S.	Proceedings of the Royal Society of London. Series A. Mathematical and Physical Sciences
rspa_1959_0114	Physics	Physics	Physics	1959	1950	1950	1900	D. Tabor|F. P. Bowden,F. R. S.	Proceedings of the Royal Society of London. Series A. Mathematical and Physical Sciences
rspb_1910_0041	Biology	Biology	Medicine	1910	1910	1900	1900	Colonel Sir David Bruce,C. B.,F. R. S.|Captain A. E. Hamerton,D. S. O.|Captain H. R. Bateman|Captain F. P. Mackie	Proceedings of the Royal Society of London. Series B, Containing Papers of a Biological Character
rspb_1975_0001	Biology	Biology	Biology	1975	1970	1950	1900	V. B. Meyer-Rochow|G. A. Horridge,F. R. S.	Proceedings of the Royal Society of London. Series B. Biological Sciences
rsta_1977_0148	Computer Science	Mathematics	Engineering and Technology	1977	1970	1950	1900	R. C. Tomlinson|J. F. Coales,F. R. S. |R. C. Tomlinson	Philosophical Transactions of the Royal Society of London. Series A, Mathematical and Physical Sciences
rspl_1879_0098	Earth Sciences	Earth Sciences	Earth Sciences	1879	1870	1850	1800	T. E. Thorpe,Ph. D.,F. R. S.	Proceedings of the Royal Society of London
rspb_1977_0049	Biology	Biology	Biology	1977	1970	1950	1900	R. Martin|J. J. Barlow|B. B. Boycott,F. R. S.	Proceedings of the Royal Society of London. Series B. Biological Sciences
rspb_1963_0053	Biology	Biology	Biology	1963	1960	1950	1900	D. J. Crisp|P. S. Meadows|F. W. R. Brambell,F. R. S.	Proceedings of the Royal Society of London. Series B. Biological Sciences
rspb_1990_0056	Biology	Medicine	Biology	1990	1990	1950	1900	N. J. Parsons|J. A. Cole|H. Smith|Bryan C. Clarke	Proceedings of the Royal Society of London. Series B: Biological Sciences
rsnr_1961_0004	Miscellaneous	Humanities	Miscellaneous	1961	1960	1950	1900	Sir Harold Hartley,F. R. S.	Notes and Records of the Royal Society of London
rspb_1979_0003	Biology	Biology	Biology	1979	1970	1950	1900	G. A. Horridge,F. R. S.|C. Giddings|M. Wilson	Proceedings of the Royal Society of London. Series B. Biological Sciences
rspb_1966_0018	Chemistry	Biology	Chemistry	1966	1960	1950	1900	D. Chapman|P. Byrne|G. G. Shipley|R. E. Richards,F. R. S.	Proceedings of the Royal Society of London. Series B. Biological Sciences
rspa_1978_0011	Mathematics	Mathematics	Mathematics	1978	1970	1950	1900	R. K. Dodd|J. D. Gibbon|M. F. Atiyah,F. R. S.	Proceedings of the Royal Society of London. A. Mathematical and Physical Sciences
rspb_1996_0151	Biology	Biology	Biology	1996	1990	1950	1900	Ray R. Radtkey|Britta Becker|Robert D. Miller|Roy Riblet|T. J. Case	Proceedings of the Royal Society of London. Series B: Biological Sciences
rspa_1959_0192	Physics	Physics	Physics	1959	1950	1950	1900	W. Cochran|N. F. Mott,F. R. S.	Proceedings of the Royal Society of London. Series A. Mathematical and Physical Sciences
rspb_1905_0010	Chemistry	Chemistry	Medicine	1905	1900	1900	1900	J. A. Craw|Dr. C. J. Martin,F. R. S.	Proceedings of the Royal Society of London. Series B, Containing Papers of a Biological Character
106469	Mathematics	Mathematics	Mathematics	1782	1780	1750	1700	S. Vince	Philosophical Transactions of the Royal Society of London
rsta_1948_0012	Chemistry	Engineering and Technology	Chemistry	1948	1940	1900	1900	A. R. Ubbelohde	Philosophical Transactions of the Royal Society of London. Series A, Mathematical and Physical Sciences
rspa_1959_0183	Physics	Physics	Physics	1959	1950	1950	1900	D. R. Bates,F. R. S.|N. Lynn	Proceedings of the Royal Society of London. Series A. Mathematical and Physical Sciences
rspb_1995_0006	Biology	Biology	Biology	1995	1990	1950	1900	Jan D. Van Der Laan|Pauline Hogeweg	Proceedings of the Royal Society of London. Series B: Biological Sciences
rstb_1993_0132	Biology	Biology	Biology	1993	1990	1950	1900	K. V. S. Prasad|Rosana Kapeller|Ottmar Janssen|Jonathan S. Duke-Cohan|Heinrich Repke|Lewis C. Cantley|Christopher Rudd|A. N. Barclay|M. J. Crumpton|R. A. Weiss	Philosophical Transactions of the Royal Society of London. Series B: Biological Sciences
rspa_1967_0073	Chemistry	Chemistry	Chemistry	1967	1960	1950	1900	K. J. Laidler|M. T. H. Liu|F. S. Dainton,F. R. S.	Proceedings of the Royal Society of London. Series A. Mathematical and Physical Sciences
rsbm_1936_0012	Earth Sciences	Earth Sciences	Earth Sciences	1936	1930	1900	1900	L. J. Spencer|George Thurland Prior	Obituary Notices of Fellows of the Royal Society
106257	Biology	Biology	Biology	1777	1770	1750	1700	William Bastard|Samuel Musgrave	Philosophical Transactions of the Royal Society of London
rspa_1934_0151	Chemistry	Chemistry	Chemistry	1934	1930	1900	1900	W. G. Penney|J. E. Lennard-Jones,F. R. S.	Proceedings of the Royal Society of London. Series A, Containing Papers of a Mathematical and Physical Character
rspb_1912_0033	Biology	Biology	Biology	1912	1910	1900	1900	S. G. Shattock,F. R. C. S.|L. S. Dudgeon,F. R. C. P.|Sir James Dewar,F. R. S.	Proceedings of the Royal Society of London. Series B, Containing Papers of a Biological Character
rstb_1982_0096	Biology	Biology	Biology	1982	1980	1950	1900	B. B. J\#xF8,rgensen|J. R. Postgate,F. R. S. |J. R. Postgate,F. R. S. |D. P. Kelly	Philosophical Transactions of the Royal Society of London. B, Biological Sciences
rspb_1977_0092	Biology	Biology	Biology	1977	1970	1950	1900	H. Bannwarth|N. Ikehara|H. -G. Schweiger|Henry Harris,F. R. S.	Proceedings of the Royal Society of London. Series B. Biological Sciences
rstb_1996_0069	Biology	Biology	Biology	1996	1990	1950	1900	J. M. Pemberton|J. A. Smith|T. N. Coulson|T. C. Marshall|J. Slate|S. Paterson|S. D. Albon|T. H. Clutton-Brock|P. H. A. Sneath|B. C. Clarke|P. R. Grant	Philosophical Transactions of the Royal Society of London. Series B: Biological Sciences
rspa_1920_0069	Physics	Physics	Physics	1920	1920	1900	1900	T. R. Merton,M.A.,D. Sc.,F. R. S.	Proceedings of the Royal Society of London. Series A, Containing Papers of a Mathematical and Physical Character
rspa_1959_0062	Physics	Physics	Physics	1959	1950	1950	1900	G. K. Horton|H. Schiff|R. E. Peierls,F. R. S.	Proceedings of the Royal Society of London. Series A. Mathematical and Physical Sciences
rspb_1975_0046	Biology	Biology	Biology	1975	1970	1950	1900	J. Elizabeth Boyle|D. C. Smith|J. L. Harley,F. R. S.	Proceedings of the Royal Society of London. Series B. Biological Sciences
rsta_1995_0023	Physics	Astronomy	Physics	1995	1990	1950	1900	J. Geiss|G. Gloeckler|R. von Steiger	Philosophical Transactions of the Royal Society of London. Series A: Physical and Engineering Sciences
rspb_1972_0004	Medicine	Medicine	Medicine	1972	1970	1950	1900	A. C. Pessina|W. S. Peart,F. R. S.	Proceedings of the Royal Society of London. Series B. Biological Sciences
103696	Earth Sciences	Earth Sciences	Earth Sciences	1727	1720	1700	1700	John Dove	Philosophical Transactions (1683-1775)
rspb_1995_0009	Biology	Biology	Biology	1995	1990	1950	1900	D. A. Rand|M. Keeling|H. B. Wilson	Proceedings of the Royal Society of London. Series B: Biological Sciences
rspa_1955_0055	Chemistry	Chemistry	Chemistry	1955	1950	1950	1900	M. Gordon|G. Gee,F. R. S.	Proceedings of the Royal Society of London. Series A. Mathematical and Physical Sciences
rspb_1910_0034	Biology	Biology	Biology	1910	1910	1900	1900	Leonard S. Dudgeon|P. N. Panton|H. A. F. Wilson|Dr. F. W. Mott,F. R. S.	Proceedings of the Royal Society of London. Series B, Containing Papers of a Biological Character
rspa_1991_0002	Physics	Physics	Physics	1991	1990	1950	1900	S. Chandra|C. T. Avedisian	Proceedings of the Royal Society of London. Series A: Mathematical and Physical Sciences
rsta_1980_0090	Chemistry	Engineering and Technology	Engineering and Technology	1980	1980	1950	1900	P. A. Beaven|M. K. Miller|P. R. Williams|K. M. Delargy|G. D. W. Smtih	Philosophical Transactions of the Royal Society of London. Series A, Mathematical and Physical Sciences
rsta_1975_0057	Earth Sciences	Earth Sciences	Earth Sciences	1975	1970	1950	1900	M. T. Morzadec - Kerfourn|B. C. Worssam|Dr C. Turner|Sir Kingsley Dunham,For.Sec.R.S.|A. J. Smith	Philosophical Transactions of the Royal Society of London. Series A, Mathematical and Physical Sciences
rsta_1984_0070	Computer Science	Computer Science	Computer Science	1984	1980	1950	1900	J. R. Abrial|R. L. Constable|J. C. Shepherdson|J. S. Hillmore|Sir Michael Atiyah,F. R. S.|C. A. R. Hoare,F. R. S.|J. C. Sheperdson	Philosophical Transactions of the Royal Society of London. Series A, Mathematical and Physical Sciences
rspa_1994_0075	Engineering and Technology	Engineering and Technology	Engineering and Technology	1994	1990	1950	1900	Yuan-Gao Zhang	Proceedings of the Royal Society of London. Series A: Mathematical and Physical Sciences
rstb_1989_0030	Biology	Biology	Biology	1989	1980	1950	1900	M. M. Davis|Yueh-Hsiu Chien|Pamela J. Bjorkman|J. F. Elliott|M. Iwashima|E. P. Rock|P. A. Patten|F. Brown,F. R. S.|M. J. Crumpton,F. R. S.	Philosophical Transactions of the Royal Society of London. B, Biological Sciences
rspa_1961_0003	Physics	Physics	Physics	1961	1960	1950	1900	R. S. Nelson|M. W. Thompson|A. H. Cottrell,F. R. S.	Proceedings of the Royal Society of London. Series A. Mathematical and Physical Sciences
rsnr_1955_0014	Humanities	Humanities	Humanities	1955	1950	1950	1900		Notes and Records of the Royal Society of London
rspb_1961_0026	Biology	Biology	Biology	1961	1960	1950	1900	B. B. Boycott|E. G. Gray|R. W. Guillery|J. Z. Young,F. R. S.	Proceedings of the Royal Society of London. Series B. Biological Sciences
rsta_1982_0040	Earth Sciences	Earth Sciences	Earth Sciences	1982	1980	1950	1900	A. W. Bally|R. A. Price|D. G. Roberts|M. F. Osmaston|Sir Peter Kent,F. R. S. |M. H. P. Bott,F. R. S. |D. P. McKenzie,F. R. S. |C. A. Williams	Philosophical Transactions of the Royal Society of London. Series A, Mathematical and Physical Sciences
rspb_1992_0158	Biology	Biology	Mathematics	1992	1990	1950	1900	F. G. Ball|A. Chen|M. S. P. Sansom	Proceedings of the Royal Society of London. Series B: Biological Sciences
101913	Miscellaneous	Engineering and Technology	Engineering and Technology	1686	1680	1650	1600	Sam. Pepys	Philosophical Transactions (1683-1775)
106116	Astronomy	Astronomy	Astronomy	1771	1770	1750	1700	H. Pemberton|Matthew Raper	Philosophical Transactions (1683-1775)
rspa_1920_0040	Physics	Physics	Physics	1920	1920	1900	1900	Sir E. Rutherford,F. R. S.	Proceedings of the Royal Society of London. Series A, Containing Papers of a Mathematical and Physical Character
rspb_1914_0037	Biology	Biology	Biology	1914	1910	1900	1900	Surgeon-General Sir David Bruce,C. B.,F. R. S.,A. M. S.|Major A. E. Hamerton,D. S. O.|Captain D. P. Watson,R. A. M. C.|Lady Bruce,R. R. C.	Proceedings of the Royal Society of London. Series B, Containing Papers of a Biological Character
rspb_1956_0067	Biology	Biology	Biology	1956	1950	1950	1900	R. D. Owen|Sir Macfarlane Burnet,F. R. S.	Proceedings of the Royal Society of London. Series B - Biological Sciences
rspl_1893_0004	Biology	Biology	Biology	1893	1890	1850	1800	F. O. Bower,D. Sc.,F. R. S.	Proceedings of the Royal Society of London
rsbm_1995_0029	Medicine	Biology	Medicine	1995	1990	1950	1900	Maureen Owen|Dame Janet Maria Vaughan,D. B. E.	Biographical Memoirs of Fellows of the Royal Society
rspa_1958_0149	Chemistry	Chemistry	Chemistry	1958	1950	1950	1900	R. E. Richards|T. Schaefer|H. W. Thompson,F. R. S.	Proceedings of the Royal Society of London. Series A. Mathematical and Physical Sciences
104943	Physics	Physics	Physics	1755	1750	1750	1700	Gustavus Brander	Philosophical Transactions (1683-1775)
rspb_1947_0002	Biology	Biology	Biology	1947	1940	1900	1900	H. M. Bruce|A. S. Parkes,F. R. S.|L. A. Lantz	Proceedings of the Royal Society of London. Series B - Biological Sciences
rspb_1949_0008	Biology	Biology	Biology	1949	1940	1900	1900	R. Brown|P. Rickless|V. H. Blackman,F. R. S.	Proceedings of the Royal Society of London. Series B - Biological Sciences
rsnr_1972_0012	Humanities	Astronomy	Astronomy	1972	1970	1950	1900	N. S. Hetherington|Professor R. V. Jones,F. R. S. |Professor W. D. M. Paton,F. R. S.	Notes and Records of the Royal Society of London
rspa_1949_0114	Physics	Physics	Physics	1949	1940	1900	1900	L. M. Yang|M. Born,F. R. S.	Proceedings of the Royal Society of London. Series A. Mathematical and Physical Sciences
rspa_1970_0016	Chemistry	Earth Sciences	Earth Sciences	1970	1970	1950	1900	P. G. Fox|J. Soria-Ruiz|D. Tabor,F. R. S.	Proceedings of the Royal Society of London. A. Mathematical and Physical Sciences
108740	Mathematics	Mathematics	Mathematics	1861	1860	1850	1800	Arthur Cayley	Philosophical Transactions of the Royal Society of London
rspl_1880_0070	Biology	Physics	Physics	1880	1880	1850	1800	Dr. Royston-Pigott,F. R. S.	Proceedings of the Royal Society of London
rspa_1962_0022	Biology	Biology	Biology	1962	1960	1950	1900	J. A. C. Nicol|G. E. R. Deacon,F. R. S.|F. S. Russell,F. R. S.	Proceedings of the Royal Society of London. Series A. Mathematical and Physical Sciences
rspl_1876_0062	Biology	Biology	Medicine	1876	1870	1850	1800	J. Burdon-Sanderson,M. D.,F. R. S.	Proceedings of the Royal Society of London
101834	Physics	Physics	Physics	1686	1680	1650	1600	D. Papin	Philosophical Transactions (1683-1775)
rspb_1981_0012	Biology	Biology	Biology	1981	1980	1950	1900	P. Witkovsky| Cynthia C. Powell|B. B. Boycott,F. R. S.	Proceedings of the Royal Society of London. Series B. Biological Sciences
rspa_1923_0099	Chemistry	Chemistry	Chemistry	1923	1920	1900	1900	Owen Rhys Howell|Prof. T. M. Lowry,F. R. S.	Proceedings of the Royal Society of London. Series A, Containing Papers of a Mathematical and Physical Character
rspa_1974_0061	Physics	Physics	Mathematics	1974	1970	1950	1900	A. E. Green,F. R. S.|P. M. Naghdi|M. L. Wenner	Proceedings of the Royal Society of London. A. Mathematical and Physical Sciences
rspa_1932_0175	Physics	Physics	Physics	1932	1930	1900	1900	C. M. McDowell|F. L. Usher|R. Whytlaw Gray,F. R. S.	Proceedings of the Royal Society of London. Series A, Containing Papers of a Mathematical and Physical Character
104103	Engineering and Technology	Physics	Engineering and Technology	1731	1730	1700	1700	J. T. Desaguliers	Philosophical Transactions (1683-1775)
rspb_1983_0085	Computer Science	Biology	Computer Science	1983	1980	1950	1900	S. Grossberg|Sir James Lighthill,F. R. S.	Proceedings of the Royal Society of London. Series B. Biological Sciences
rspa_1955_0171	Physics	Physics	Engineering and Technology	1955	1950	1950	1900	B. A. Bilby|R. Bullough|E. Smith|J. M. Whittaker,F. R. S.	Proceedings of the Royal Society of London. Series A. Mathematical and Physical Sciences
rspl_1880_0046	Physics	Physics	Physics	1880	1880	1850	1800	Arthur Schuster,Ph. D.,F. R. S.	Proceedings of the Royal Society of London
103975	Medicine	Medicine	Medicine	1735	1730	1700	1700	Francis-Joseph Hunauld	Philosophical Transactions (1683-1775)
rspa_1973_0109	Chemistry	Chemistry	Chemistry	1973	1970	1950	1900	N. Basco|R. D. Morse|R. G. W. Norrish,F. R. S.	Proceedings of the Royal Society of London. A. Mathematical and Physical Sciences
rstb_1991_0108	Biology	Biology	Biology	1991	1990	1950	1900	A. Whiten|R. W. Byrne|R. A. Barton|P. G. Waterman|S. P. Henzi|K. Hawkes|E. M. Widdowson|S. A. Altmann|K. Milton|R. I. M. Dunbar|E. M. Widdowson|A. Whiten|Dr Q. Bone	Philosophical Transactions of the Royal Society of London. Series B: Biological Sciences
108927	Mathematics	Mathematics	Mathematics	1868	1860	1850	1800	A. Cayley	Philosophical Transactions of the Royal Society of London
rstl_1878_0003	Biology	Biology	Biology	1878	1870	1850	1800	Charles S. Tomes,M. A.|John Tomes,F. R. S.	Philosophical Transactions of the Royal Society of London
rspa_1947_0002	Physics	Physics	Physics	1947	1940	1900	1900	M. Born,F. R. S.|Mary Bradburn	Proceedings of the Royal Society of London. Series A. Mathematical and Physical Sciences
rspb_1991_0043	Biology	Biology	Biology	1991	1990	1950	1900	Asad Ahmed	Proceedings of the Royal Society of London. Series B: Biological Sciences
106485	Astronomy	Astronomy	Astronomy	1783	1780	1750	1700	M. de la Lande|Alexander Wilson|Nevil Maskelyne	Philosophical Transactions of the Royal Society of London
rspb_1984_0046	Biology	Biology	Biology	1984	1980	1950	1900	I. Eshel|W. D. Hamilton F. R. S.	Proceedings of the Royal Society of London. Series B. Biological Sciences
rspl_1890_0003	Biology	Biology	Biology	1890	1890	1850	1800	J. Burdon Sanderson,F. R. S.	Proceedings of the Royal Society of London
109868	Biology	Biology	Biology	1815	1810	1800	1800	John T. Todd	Abstracts of the Papers Printed in the Philosophical Transactions of the Royal Society of London
108733	Chemistry	Chemistry	Chemistry	1861	1860	1850	1800	Thomas Graham	Philosophical Transactions of the Royal Society of London
rspa_1966_0028	Physics	Physics	Physics	1966	1960	1950	1900	G. H\#xF6,hler|J. Baacke|J. Giesecke |N. Zovko|R. H. Dalitz,F. R. S.	Proceedings of the Royal Society of London. Series A. Mathematical and Physical Sciences
101419	Engineering and Technology	Engineering and Technology	Engineering and Technology	1665	1660	1650	1600	Monsieur Petit	Philosophical Transactions (1665-1678)
